,users,ratings,shorts,times
118,爱的镇魂歌,5,老辈的老成持重到小辈的雷厉风行，在顶梁柱几近坍塌的多故之秋两代人青黄交接，从背叛与仗义中传达出充满时代感的黑帮式家族观念。突如其来的责任重担轻易扭转了曾置身家事外的人生规划，走上与初衷背道相驰的荆棘路既是自己的选择，也是别无他选的无奈。,2019-06-26
119,董食肉,5,关于死亡和出生 继承和抛弃 每个人的死都有不同的方式 SANNY是暴烈的在阳光下被乱枪打死 TESSIO是平静地被带上了车 CARLO是用最残忍的方式像捏蚂蚁一样 最有诗意的是老教父的死 周围是绿油油的番茄树和欢蹦乱跳的孩子 喜欢FREDO坐在病重的老教父床前那个镜头 还有教父在SANNY尸体前的那个表情,2011-01-02
120,Vash,5,"太小的时候看过一次,果然还是要长大了看才有深意. 主角举手投足间的气质让人折服~AL年轻的时候各种漫画般唯美啊...只是男性多不能这么顺利地成为王者的...音乐和场景,人物的气质行为等等描画地好像精妙的小说一般, 不愧宝座...",2012-02-07
121,浮影人生,5,只能用惊喜表达我强烈的感受！最重要的是，这部五十年前的影片开创了电影史上的黑帮类型片先河，是一个标杆是一座里程碑，可以说今后所有的黑帮类型片统统都是向这部影片致敬，不论故事还是技术。对于阅片量不算少的我来说，之所以迟迟没看这部电影有多个原因，首先毕竟这个系列影片的名气在电影史上实在实在是太大了，我有这方面的反向经验，多部大名鼎鼎的影片对我来说实在是难以下咽，其二影片太长年代太久远，也是让我始终无法鼓起勇气看的重要原因之一。但我显然多虑了，这部影片令我爱不释手，多个情节记忆深刻，送马头、餐厅刺杀两场戏特别棒，甚至之后的类型片再无超越者。马龙白兰度奉献了其个人电影史最经典的角色塑造，同时也是此类角色塑造只有模仿没有超越的巅峰。阿尔帕西诺在片中虽稍显稚嫩，但其内在所具有的澎湃张力也初见端倪。,2020-05-06
122,Visages,4,它有太多值得炫耀的资本了。群像调度，古典节奏与气质，所有元素浑然一体，成就经典。讲的是一个家族的衰亡，观众看到的是一个时代的悲歌。但我还不够喜欢它，甚至在美国往事之后，以后还要再看很多次，直到哪天改成五星。,2015-04-14
123,野人阿韦龙,5,真不觉得这电影这种叙事和表现手法有多好，我觉得那么多人给高分无非是人云亦云罢了。（看第三遍时候改一下我的看法，原谅我之前的狂妄，怎么说呢，就像《公民凯恩》一样，如果从影史地位和一些开创性的东西来看这部片子，其实还是够得上此类题材影片的经典二字。）,2014-07-13
124,托尼·王大拿,5,有些电影真的是越看越有味道的,2010-01-26
125,philips001,5,2017年春节和媳妇在家看的影评版，又有了很多感悟，还是五星/2012-09-03 我将给他一个他无法拒绝的理由~~ 教父的言辞太犀利了。教父系列我看得比较晚，可能是在我玩完教父1游戏以后才看的吧。,2012-09-03
126,Milandini,5,"The.Godfather.1972.ULTiMATE.COLLECTORS.EDiTiON.iNTERNAL.DVDRiP.X264-KiSS, The.Godfather.Part.I.1972.720p.BluRay.x264-ADHD revisited@CFA 2015.04.10",2007-10-04
127,王吸,5,"boy to man/ mans world is full of pain and loneliness,take it",2012-08-13
128,二去,5,最后Pacino剩下什么?这是什么世界?我的未来会有个好结果吗?我有足够的智慧去避免不幸发生吗?不能 一切都不能 我将死人类终会毁灭 但为什么会觉得有希望?活着是为了活着,2007-06-21
