,users,ratings,shorts,times
79,方洛洛,5,今年看过的好看电影里最酸爽的一部。序的小故事和最后婚礼的故事让我手痒到想改写成小说。司机斗气的故事用生命诠释了冲动是魔鬼；最爱的是炸弹哥工程师的故事，结尾看哭了，因为我和他骨子里是一类人。社会规则如果是强奸人的规则，别人都心甘情愿被强奸，我们却一定会跳起来，与这个规则斗争到底。,2016-01-01
80,挑灯看剑,5,第一次看阿根廷的片子，很久没给五星评价了,2016-01-02
81,大宸,4,最后一个最棒！,2015-08-11
82,drunkdoggy,4,看着看着俩观众撕起来了 观众之一是我,2015-06-06
83,米粒,3,整个片设定确实比较像天注定，不过拍出来效果很不一样。竟然喜欢贾科长多一些，虽然两个片子都是展示暴力而已。追车二男有点像斯皮尔伯格《决斗》的另一种发展，那车祸公子哥故事应该就是阿根廷版的《孩童姿势》了。另外港译片名“无定向丧心病狂”好像是骂人的话...,2017-11-24
84,郭连凯,5,69 更喜欢港版的译名——《无定向丧心病狂》。6个独立黑色复仇故事，一个比一个长，一个比一个有戏剧张力，一个比一个荒诞无稽。剧本太好，观影过程爽快到拍手叫绝。算作2014年作品的话应该会是年度十佳之一。,2015-03-03
85,维舟,4,黑色幽默，举重若轻，最后一个故事的新娘演技印象最深。看的时候想起2004年那部《撞车》，但那讲的是洛杉矶这座移民城市从“熔炉”变成了彼此各不相同的个体组成的“色拉钵”，因而琐事也能放大，引发种种碰撞；但在《蛮荒故事》里，人际摩擦还不是因为个体差异引起的，倒不如说是某种骤然爆发的非理性力量——这很像是一战前的欧洲，在理性、进步与繁荣之下，通往非理性世界的大门已经洞开，最终发现那其中才蕴藏着更强大的黑暗力量。所谓“蛮荒”，大概就是原有的文明、理性、法律之类的约束力弱化，人们在不可压制的自我激情驱使下，人人各自为敌——吊诡的是，这本身却很可能是个体得到解放的结果。,2018-12-15
86,[已注销],5,被驯化和规范着的文明，会在何时顷刻土崩瓦解。我们都是猛兽，其实都该独居。,2015-03-22
87,太龌龊欧蓝德,5,可以给十星吗,2016-08-08
88,阿飞,4,从开始的全部毁灭，到中间的两败俱伤全死掉，再到最后小夫妻俩的“高潮”，就像是复仇的过程——从不惜代价弄死你全家，自己也受伤以后，解脱了，如获新生,2016-05-10
89,朱老板,5,ICBC,2016-03-21
90,猪头妖怪,4,有风格，够疯狂。尤其是最后一个故事，如果要上法庭控诉拉丁民族的神经病，那个简直可以当物证了……,2015-02-27
91,猪头小队长,5,精彩。除了开头和结尾两个故事有些“离奇”之外，其他的故事都具备很高的合理性，这更增加了现实的荒诞。现实主义题材的黑镜。,2018-11-03
